,List Sr. No.,Set No.,2020 Set,First Name,Surname,Country,State Association,DOB,Age,Specialism,Unnamed: 10,Unnamed: 11,Test caps,"ODI
caps","T20
caps",IPL,Previous IPLTeam(s),"2019
Team","2019
IPL",C/U/A,"Reserve
Price Rs Lakh",Surname.1
149,150,23,SP2,Qais,Ahmad,Afghanistan,AFG,2000-08-15,19,BOWLER,RHB,RIGHT ARM Leg Break,1.0,,,,,,,Capped,50,Ahmad
150,151,23,SP2,Fawad,Ahmed,Australia,CA,1982-02-05,38,BOWLER,RHB,RIGHT ARM Leg Break,,3.0,2.0,,,,,Capped,50,Ahmed
151,152,23,SP2,Khary,Pierre,West Indies,CWI,1991-09-22,28,BOWLER,LHB,LEFT ARM Slow Orthodox,,,5.0,,,,,Capped,50,Pierre
152,153,23,SP2,Waqar,Salamkheil,Afghanistan,AFG,2001-10-02,18,BOWLER,RHB,LEFT ARM Slow Unorthodox,1.0,,,,,,,Capped,50,Salamkheil
153,154,23,SP2,Tabraiz,Shamsi,South Africa,CSA,1990-02-18,30,BOWLER,LHB,LEFT ARM Slow Unorthodox,2.0,17.0,16.0,4.0,RCB,,,Capped,50,Shamsi
154,155,24,UBA3,Shivam,Bhambri,India,UTCA,1995-09-30,24,BATSMAN,RHB,-,,,,,,,,Uncapped,20,Bhambri
155,156,24,UBA3,Ricky,Bhui,India,ACA,1996-09-29,23,BATSMAN,RHB,RIGHT ARM Leg Break,,,,2.0,SRH,SRH,1.0,Uncapped,20,Bhui
156,157,24,UBA3,Hiten,Dalal,India,DDCA,1994-09-25,25,BATSMAN,RHB,-,,,,,,,,Uncapped,20,Dalal
157,158,24,UBA3,Shubham,Khajuria,India,JKCA,1995-09-13,24,BATSMAN,RHB,RIGHT ARM Medium,,,,,,,,Uncapped,20,Khajuria
158,159,24,UBA3,Amandeep,Khare,India,CSCSCA,1997-08-05,22,BATSMAN,RHB,RIGHT ARM Fast Medium,,,,,,,,Uncapped,20,Khare
159,160,24,UBA3,Samarth,R,India,KSCA,1993-01-22,27,BATSMAN,RHB,RIGHT ARM Off Break,,,,,,,,Uncapped,20,R
160,161,24,UBA3,Mayank,Rawat,India,DDCA,1999-12-04,20,BATSMAN,RHB,RIGHT ARM Off Break,,,,,,,,Uncapped,20,Rawat
161,162,25,UAL3,N.Tilak,Varma,India,HYCA,2002-11-08,17,ALL-ROUNDER,LHB,RIGHT ARM Off Break,,,,,,,,Uncapped,20,Varma
162,163,25,UAL3,Prayas,Barman,India,CAB,2002-10-25,17,ALL-ROUNDER,RHB,RIGHT ARM Leg Break,,,,1.0,RCB,RCB,1.0,Uncapped,20,Barman
163,164,25,UAL3,Prashant,Chopra,India,HPCA,1992-10-07,27,ALL-ROUNDER,RHB,RIGHT ARM Leg Break,,,,2.0,RR,RR,1.0,Uncapped,20,Chopra
164,165,25,UAL3,Mayank,Dagar,India,HPCA,1996-11-11,23,ALL-ROUNDER,RHB,LEFT ARM Slow Orthodox,,,,0.0,KXIP,,,Uncapped,20,Dagar
165,166,25,UAL3,C,Hari Nishaanth,India,TNCA,1996-08-16,23,ALL-ROUNDER,LHB,RIGHT ARM Off Break,,,,,,,,Uncapped,20,Hari Nishaanth
166,167,25,UAL3,Roosh,Kalaria,India,GUCA,1993-01-16,27,ALL-ROUNDER,RHB,LEFT ARM Fast Medium,,,,,,,,Uncapped,20,Kalaria
167,168,25,UAL3,Akshay,Karnewar,India,VCA,1992-10-12,27,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,,,,,,,,Uncapped,20,Karnewar
168,169,25,UAL3,Sumit,Kumar,India,HCA,1995-12-12,24,ALL-ROUNDER,RHB,RIGHT ARM Medium Fast,,,,,,,,Uncapped,20,Kumar
169,170,25,UAL3,Vishal,Kushwah,India,CSCSCA,1990-11-30,29,ALL-ROUNDER,RHB,RIGHT ARM Medium Fast,,,,,,,,Uncapped,20,Kushwah
170,171,25,UAL3,Akshdeep,Nath,India,UPCA,1993-05-10,26,ALL-ROUNDER,RHB,RIGHT ARM Medium,,,,14.0,"GL, KXIP, RCB",RCB,8.0,Uncapped,20,Nath
171,172,26,UWK3,Avi,Barot,India,SCA,1992-06-25,27,WICKETKEEPER,RHB,-,,,,,,,,Uncapped,20,Barot
172,173,26,UWK3,Aryan,Juyal,India,UPCA,2001-11-11,18,WICKETKEEPER,RHB,-,,,,,,,,Uncapped,20,Juyal
173,174,26,UWK3,Sumit,Kumar,India,JSCA,1995-12-30,24,WICKETKEEPER,RHB,-,,,,,,,,Uncapped,20,Kumar
174,175,26,UWK3,Anmol,Malhotra,India,PCA,1995-11-29,24,WICKETKEEPER,RHB,RIGHT ARM Off Break,,,,,,,,Uncapped,20,Malhotra
175,176,26,UWK3,Smit,Patel,India,TCA,1993-05-16,26,WICKETKEEPER,RHB,-,,,,,,,,Uncapped,20,Patel
176,177,26,UWK3,Saurabh,Rawat,India,CAU,1996-12-21,23,WICKETKEEPER,RHB,-,,,,,,,,Uncapped,20,Rawat
177,178,26,UWK3,Jitesh,Sharma,India,VCA,1993-10-22,26,WICKETKEEPER,RHB,-,,,,0.0,MI,,,Uncapped,20,Sharma
178,179,26,UWK3,Mayank,Sidhu,India,PCA,1997-11-22,22,WICKETKEEPER,RHB,-,,,,,,,,Uncapped,20,Sidhu
179,180,27,UFA3,Nandre,Burger,South Africa,CSA,1995-08-11,24,BOWLER,LHB,LEFT ARM Fast,,,,,,,,Uncapped,20,Burger
180,181,27,UFA3,Stephen,Chipurupalli,India,ACA,1993-12-03,26,BOWLER,LHB,LEFT ARM Fast Medium,,,,,,,,Uncapped,20,Chipurupalli
181,182,27,UFA3,Yash,Dayal,India,UPCA,1997-12-13,22,BOWLER,RHB,LEFT ARM Fast Medium,,,,,,,,Uncapped,20,Dayal
182,183,27,UFA3,C.V,Milind,India,HYCA,1994-09-04,25,BOWLER,LHB,LEFT ARM Fast,,,,0.0,DD,,,Uncapped,20,Milind
183,184,27,UFA3,G,Periyasamy,India,TNCA,1994-03-05,26,BOWLER,RHB,RIGHT ARM Fast Medium,,,,,,,,Uncapped,20,Periyasamy
184,185,27,UFA3,Chetan,Sakariya,India,SCA,1998-02-28,22,BOWLER,LHB,LEFT ARM Fast Medium,,,,,,,,Uncapped,20,Sakariya
185,186,27,UFA3,Kuldeep,Sen,India,MPCA,1996-10-22,23,BOWLER,RHB,RIGHT ARM Fast Medium,,,,,,,,Uncapped,20,Sen
186,187,27,UFA3,Anureet,Singh,India,RSPB,1988-03-02,32,BOWLER,RHB,RIGHT ARM Fast Medium,,,,23.0,"KKR, KXIP, RR",,,Uncapped,30,Singh
187,188,27,UFA3,Pradeep,Thippeswamy,India,RSPB,1994-08-28,25,BOWLER,RHB,RIGHT ARM Fast Medium,,,,,,,,Uncapped,20,Thippeswamy
188,189,27,UFA3,Tanveer,Ul Haq,India,RCA,1991-12-03,28,BOWLER,RHB,LEFT ARM Fast,,,,,,,,Uncapped,20,Ul Haq
189,190,28,USP3,Mihir,Hirwani,India,MPCA,1994-05-14,25,BOWLER,RHB,RIGHT ARM Leg Break,,,,,,,,Uncapped,20,Hirwani
190,191,28,USP3,S,Manigandan,India,TNCA,1996-05-06,23,BOWLER,RHB,RIGHT ARM Leg Break,,,,,,,,Uncapped,20,Manigandan
191,192,28,USP3,Shiva,Singh,India,UPCA,1999-10-16,20,BOWLER,RHB,LEFT ARM Slow Orthodox,,,,,,,,Uncapped,20,Singh
192,193,28,USP3,Ajay,Sonu T,India,JSCA,1999-10-10,20,BOWLER,RHB,RIGHT ARM Leg Break,,,,,,,,Uncapped,20,Sonu T
193,194,28,USP3,Pravin,Tambe,India,MCA,1971-10-08,48,BOWLER,RHB,RIGHT ARM Leg Break,,,,33.0,"RR, GL, SRH",,,Uncapped,20,Tambe
194,195,28,USP3,Sagar,Udeshi,India,CAP,1986-10-14,33,BOWLER,LHB,LEFT ARM Slow Orthodox,,,,,,,,Uncapped,20,Udeshi
195,196,29,BA4,Tom,Bruce,New Zealand,NZC,1991-08-02,28,BATSMAN,RHB,RIGHT ARM Off Break,,,15.0,,,,,Capped,50,Bruce
196,197,29,BA4,Oshada,Fernando,Sri Lanka,SLC,1992-04-15,27,BATSMAN,RHB,RIGHT ARM Leg Break,2.0,6.0,3.0,,,,,Capped,50,Fernando
197,198,29,BA4,Avishka,Fernando,Sri Lanka,SLC,1998-04-05,22,BATSMAN,RHB,-,,15.0,10.0,,,,,Capped,50,Fernando
198,199,29,BA4,Brandon,King,West Indies,CWI,1994-12-16,25,BATSMAN,RHB,RIGHT ARM Off Break,,1.0,3.0,,,,,Capped,50,King
199,200,29,BA4,Lendl,Simmons,West Indies,CWI,1985-01-25,35,BATSMAN,RHB,RIGHT ARM Medium,8.0,68.0,46.0,29.0,MI,,,Capped,75,Simmons
200,201,29,BA4,Rassie,Van Der Dussen,South Africa,CSA,1989-02-07,31,BATSMAN,RHB,RIGHT ARM Off Break,,18.0,9.0,,,,,Capped,50,Van Der Dussen
201,202,30,AL4,Ashton,Agar,Australia,CA,1993-10-14,26,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,4.0,9.0,,,,,,Capped,100,Agar
202,203,30,AL4,James,Faulkner,Australia,CA,1990-04-29,29,ALL-ROUNDER,RHB,LEFT ARM Medium Fast,1.0,69.0,24.0,60.0,"PWI, KXIP, RR, GL",,,Capped,50,Faulkner
203,204,30,AL4,Lewis,Gregory,England,ECB,1992-05-24,27,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,,,5.0,,,,,Capped,50,Gregory
204,205,30,AL4,Moises,Henriques,Australia,CA,1987-02-01,33,ALL-ROUNDER,RHB,RIGHT ARM Medium Fast,4.0,11.0,11.0,57.0,"KKR, DD, SRH, RCB, KXIP",KXIP,0.0,Capped,100,Henriques
205,206,30,AL4,Scott,Kuggeleijn,New Zealand,NZC,1992-01-03,28,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,,2.0,9.0,2.0,CSK,CSK,2.0,Capped,50,Kuggeleijn
206,207,30,AL4,Romario,Shepherd,West Indies,CWI,1994-11-26,25,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,,3.0,,,,,,Capped,50,Shepherd
207,208,30,AL4,D'Arcy,Short,Australia,CA,1990-08-09,29,ALL-ROUNDER,LHB,LEFT ARM Slow Unorthodox,,4.0,20.0,7.0,RR,,,Capped,100,Short
208,209,30,AL4,David,Wiese,South Africa,CSA,1985-05-18,34,ALL-ROUNDER,RHB,RIGHT ARM Medium Fast,,6.0,20.0,15.0,RCB,,,Capped,75,Wiese
209,210,30,AL4,Karim,Janat,Afghanistan,AFG,1998-08-11,21,ALL-ROUNDER,RHB,RIGHT ARM Medium Fast,,1.0,21.0,,,,,Capped,50,Janat
210,211,31,FA4,Kyle,Abbott,South Africa,CSA,1987-06-18,32,BOWLER,RHB,RIGHT ARM Fast,11.0,28.0,21.0,5.0,KXIP,,,Capped,150,Abbott
211,212,31,FA4,Doug,Bracewell,New Zealand,NZC,1990-09-28,29,BOWLER,RHB,RIGHT ARM Fast Medium,27.0,19.0,18.0,1.0,DD,,,Capped,50,Bracewell
212,213,31,FA4,Marchant,De Lange,South Africa,CSA,1990-10-13,29,BOWLER,RHB,RIGHT ARM Fast,2.0,4.0,6.0,5.0,"KKR, MI",,,Capped,75,De Lange
213,214,31,FA4,Ben,Laughlin,Australia,CA,1982-10-03,37,BOWLER,RHB,RIGHT ARM Fast Medium,,5.0,3.0,9.0,"CSK, SRH, RR",,,Capped,50,Laughlin
214,215,31,FA4,Tymal,Mills,England,ECB,1992-08-12,27,BOWLER,RHB,LEFT ARM Fast,,,5.0,5.0,RCB,,,Capped,50,Mills
215,216,31,FA4,James,Pattinson,Australia,CA,1990-05-03,29,BOWLER,RHB,RIGHT ARM Fast,19.0,15.0,4.0,0.0,KKR,,,Capped,100,Pattinson
216,217,31,FA4,Liam,Plunkett,England,ECB,1985-04-06,35,BOWLER,RHB,RIGHT ARM Fast Medium,13.0,89.0,22.0,7.0,DD,,,Capped,100,Plunkett
217,218,32,UBA4,Sachin,Baby,India,KCA,1988-12-18,31,BATSMAN,LHB,RIGHT ARM Off Break,,,,18.0,"RR, RCB, SRH",,,Uncapped,20,Baby
218,219,32,UBA4,Rajesh,Bishnoi,India,RCA,1987-08-10,32,BATSMAN,RHB,-,,,,3.0,RCB,,,Uncapped,20,Bishnoi
219,220,32,UBA4,Unmukt,Chand,India,CAU,1993-03-26,27,BATSMAN,RHB,RIGHT ARM Off Break,,,,21.0,"DD, RR, MI",,,Uncapped,20,Chand
220,221,32,UBA4,Cameron,Delport,South Africa,CSA,1989-05-12,30,BATSMAN,LHB,RIGHT ARM Medium,,,,0.0,KKR,,,Uncapped,40,Delport
221,222,32,UBA4,Tanmay,Mishra,India,TCA,1986-12-22,33,BATSMAN,RHB,RIGHT ARM Off Break,,,,1.0,DCH,,,Uncapped,20,Mishra
222,223,32,UBA4,Priyank,Panchal,India,GUCA,1990-04-09,30,BATSMAN,RHB,RIGHT ARM Medium Fast,,,,,,,,Uncapped,20,Panchal
223,224,32,UBA4,Vishnu,Solanki,India,BCA,1992-10-15,27,BATSMAN,RHB,RIGHT ARM Medium Fast,,,,,,,,Uncapped,20,Solanki
224,225,33,UAL4,Chaitanya,Bishnoi,India,HCA,1994-08-25,25,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,,,,0.0,CSK,CSK,0.0,Uncapped,20,Bishnoi
225,226,33,UAL4,Yudhvir,Charak,India,HYCA,1997-09-13,22,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,,,,,,,,Uncapped,20,Charak
226,227,33,UAL4,Chandrapal,Chundawat,India,RCA,1994-09-08,25,ALL-ROUNDER,RHB,LEFT ARM Slow Orthodox,,,,,,,,Uncapped,20,Chundawat
227,228,33,UAL4,Tajinder,Dhillon,India,RCA,1992-05-25,27,ALL-ROUNDER,RHB,RIGHT ARM Off Break,,,,0.0,MI,,,Uncapped,20,Dhillon
228,229,33,UAL4,Azim,Kazi,India,MACA,1993-10-14,26,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,,,,,,,,Uncapped,20,Kazi
229,230,33,UAL4,Sujit,Nayak,India,MCA,1989-06-23,30,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,,,,,,,,Uncapped,20,Nayak
230,231,33,UAL4,Abdul,Samad,India,JKCA,2001-10-28,18,ALL-ROUNDER,RHB,RIGHT ARM Leg Break,,,,,,,,Uncapped,20,Samad
231,232,33,UAL4,Jalaj,Saxena,India,KCA,1986-12-15,33,ALL-ROUNDER,RHB,RIGHT ARM Off Break,,,,0.0,"MI, RCB, DC",DC,0.0,Uncapped,30,Saxena
232,233,33,UAL4,Utkarsh,Singh,India,JSCA,1998-05-07,21,ALL-ROUNDER,LHB,RIGHT ARM Off Break,,,,,,,,Uncapped,20,Singh
233,234,33,UAL4,Harsh,Tyagi,India,RSPB,1999-12-23,20,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,,,,,,,,Uncapped,20,Tyagi
234,235,34,UFA4,Aniket,Choudhary,India,RCA,1990-01-28,30,BOWLER,RHB,LEFT ARM Fast Medium,,,,5.0,RCB,,,Uncapped,20,Choudhary
235,236,34,UFA4,Puneet,Datey,India,CSCSCA,1994-09-10,25,BOWLER,RHB,RIGHT ARM Fast Medium,,,,,,,,Uncapped,20,Datey
236,237,34,UFA4,Akash,Deep,India,CAB,1996-12-15,23,BOWLER,RHB,RIGHT ARM Fast Medium,,,,,,,,Uncapped,20,Deep
237,238,34,UFA4,Nathan,Ellis,Australia,CA,1994-09-22,25,BOWLER,RHB,RIGHT ARM Fast,,,,,,,,Uncapped,20,Ellis
238,239,34,UFA4,Sayan,Ghosh,India,CAB,1992-09-16,27,BOWLER,RHB,RIGHT ARM Fast Medium,,,,0.0,"KKR,  DD",,,Uncapped,20,Ghosh
239,240,34,UFA4,Chemar,Holder,West Indies,CWI,1998-03-03,22,BOWLER,RHB,RIGHT ARM Fast,,,,,,,,Uncapped,20,Holder
240,241,34,UFA4,Arzan,Nagwaswalla,India,GUCA,1997-10-17,22,BOWLER,RHB,LEFT ARM Medium Fast,,,,,,,,Uncapped,20,Nagwaswalla
241,242,34,UFA4,Safvan,Patel,India,BCA,1998-10-03,21,BOWLER,RHB,LEFT ARM Medium Fast,,,,,,,,Uncapped,20,Patel
242,243,34,UFA4,Pradeep,Sangwan,India,DDCA,1990-11-05,29,BOWLER,RHB,LEFT ARM Fast Medium,,,,39.0,"DD, KKR, GL, MI",,,Uncapped,30,Sangwan
243,244,34,UFA4,Prithviraj,Yarra,India,ACA,1998-02-20,22,BOWLER,LHB,LEFT ARM Fast,,,,2.0,KKR,KKR,2.0,Uncapped,20,Yarra
244,245,35,AL5,Ravi,Bopara,England,ECB,1985-05-04,34,ALL-ROUNDER,RHB,RIGHT ARM Medium,13.0,128.0,30.0,24.0,"KXIP, SRH",,,Capped,50,Bopara
245,246,35,AL5,Wanindu,Hasaranga,Sri Lanka,SLC,1997-07-29,22,ALL-ROUNDER,RHB,RIGHT ARM Leg Break,,12.0,8.0,,,,,Capped,50,Hasaranga
246,247,35,AL5,Dimuth,Karunarathna,Sri Lanka,SLC,1988-04-21,31,ALL-ROUNDER,LHB,LEFT ARM Medium Fast,,62.0,28.0,,,,,Capped,50,Karunarathna
247,248,35,AL5,Mohammad,Mahmudullah,Bangladesh,BAN,1986-02-04,34,ALL-ROUNDER,RHB,RIGHT ARM Off Break,48.0,185.0,83.0,,,,,Capped,75,Mahmudullah
248,249,35,AL5,Angelo,Mathews,Sri Lanka,SLC,1987-06-02,32,ALL-ROUNDER,RHB,RIGHT ARM Medium Fast,82.0,214.0,72.0,49.0,"KKR, PWI, DD",,,Capped,200,Mathews
249,250,35,AL5,Wiaan,Mulder,South Africa,CSA,1998-02-19,22,ALL-ROUNDER,RHB,RIGHT ARM Medium,1.0,10.0,,,,,,Capped,50,Mulder
250,251,35,AL5,Dasun,Shanaka,Sri Lanka,SLC,1991-09-09,28,ALL-ROUNDER,RHB,RIGHT ARM Medium,3.0,22.0,35.0,,,,,Capped,50,Shanaka
251,252,35,AL5,Jon Jon,Smuts,South Africa,CSA,1988-09-21,31,ALL-ROUNDER,RHB,LEFT ARM Slow Orthodox,,,8.0,,,,,Capped,50,Smuts
252,253,35,AL5,Ashton,Turner,Australia,CA,1993-01-25,27,ALL-ROUNDER,RHB,RIGHT ARM Off Break,,3.0,11.0,4.0,RR,RR,4.0,Capped,75,Turner
253,254,36,FA5,Dushmanta,Chameera,Sri Lanka,SLC,1992-01-11,28,BOWLER,RHB,RIGHT ARM Fast,8.0,23.0,19.0,0.0,RR,,,Capped,50,Chameera
254,255,36,FA5,Saqib,Mahmood,England,ECB,1997-02-25,23,BOWLER,RHB,RIGHT ARM Fast Medium,,,3.0,,,,,Capped,75,Mahmood
255,256,36,FA5,Obed,McCoy,West Indies,CWI,1997-01-04,23,BOWLER,LHB,LEFT ARM Fast,,2.0,2.0,,,,,Capped,50,McCoy
256,257,36,FA5,Nuwan,Pradeep,Sri Lanka,SLC,1986-10-19,33,BOWLER,RHB,RIGHT ARM Fast Medium,28.0,42.0,14.0,,,,,Capped,50,Pradeep
257,258,36,FA5,Blair,Tickner,New Zealand,NZC,1993-10-13,26,BOWLER,RHB,RIGHT ARM Medium Fast,,,3.0,,,,,Capped,50,Tickner
258,259,36,FA5,Kesrick,Williams,West Indies,CWI,1990-01-08,30,BOWLER,RHB,RIGHT ARM Fast Medium,,8.0,21.0,,,,,Capped,50,Williams
259,260,37,UBA5,Armaan,Jaffer,India,MCA,1998-10-25,21,BATSMAN,RHB,-,,,,0.0,KXIP,,,Uncapped,20,Jaffer
260,261,37,UBA5,Siddharth,Krishnamurthy,India,KSCA,1992-11-22,27,BATSMAN,RHB,RIGHT ARM Medium Fast,,,,,,,,Uncapped,20,Krishnamurthy
261,262,37,UBA5,Rajat,Patidar,India,MPCA,1993-06-01,26,BATSMAN,RHB,RIGHT ARM Off Break,,,,,,,,Uncapped,20,Patidar
262,263,37,UBA5,Shubham Singh,Pundir,India,JKCA,1998-10-16,21,BATSMAN,LHB,RIGHT ARM Leg Break,,,,,,,,Uncapped,20,Pundir
263,264,37,UBA5,Himanshu,Rana,India,HCA,1998-10-01,21,BATSMAN,RHB,RIGHT ARM Medium,,,,,,,,Uncapped,20,Rana
264,265,37,UBA5,Ekant,Sen,India,HPCA,1995-06-21,24,BATSMAN,RHB,RIGHT ARM Medium Fast,,,,,,,,Uncapped,20,Sen
265,266,37,UBA5,Subhranshu,Senapati,India,OCA,1996-12-30,23,BATSMAN,RHB,RIGHT ARM Medium Fast,,,,,,,,Uncapped,20,Senapati
266,267,38,UAL5,Baba,Aparajith,India,TNCA,1994-07-08,25,ALL-ROUNDER,RHB,RIGHT ARM Off Break,,,,0.0,RPS,,,Uncapped,20,Aparajith
267,268,38,UAL5,Gerald,Coetzee,South Africa,CSA,2000-10-02,19,ALL-ROUNDER,RHB,RIGHT ARM Fast,,,,,,,,Uncapped,20,Coetzee
268,269,38,UAL5,George,Garton,England,ECB,1997-04-15,22,ALL-ROUNDER,LHB,LEFT ARM Fast,,,,,,,,Uncapped,20,Garton
269,270,38,UAL5,Benny,Howell,England,ECB,1988-10-05,31,ALL-ROUNDER,RHB,RIGHT ARM Medium,,,,,,,,Uncapped,40,Howell
270,271,38,UAL5,Ankit,Kaushik,India,UTCA,1991-09-05,28,ALL-ROUNDER,RHB,RIGHT ARM Medium Fast,,,,,,,,Uncapped,20,Kaushik
271,272,38,UAL5,M,Mohammed,India,TNCA,1991-12-03,28,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,,,,,,,,Uncapped,20,Mohammed
272,273,38,UAL5,Ankit,Sharma,India,MPCA,1991-04-20,28,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,,,,22.0,"DCH, SRH, RPS, RR",,,Uncapped,20,Sharma
273,274,38,UAL5,Jaskarandeep,Singh,India,UTCA,1989-09-04,30,ALL-ROUNDER,RHB,RIGHT ARM Fast,,,,8.0,"DCH,  RPS",,,Uncapped,30,Singh
274,275,38,UAL5,Vivek,Singh,India,CAB,1993-11-01,26,ALL-ROUNDER,LHB,RIGHT ARM Medium,,,,,,,,Uncapped,20,Singh
275,276,38,UAL5,Gurinder,Singh,India,UTCA,1992-07-09,27,ALL-ROUNDER,RHB,LEFT ARM Slow Orthodox,,,,,,,,Uncapped,20,Singh
276,277,39,UFA5,Vaibhav,Arora,India,HPCA,1997-12-14,22,BOWLER,RHB,RIGHT ARM Medium Fast,,,,,,,,Uncapped,20,Arora
277,278,39,UFA5,Mukesh,Choudhary,India,MACA,1996-07-06,23,BOWLER,LHB,LEFT ARM Fast,,,,,,,,Uncapped,20,Choudhary
278,279,39,UFA5,Saurabh,Dubey,India,VCA,1998-01-23,22,BOWLER,RHB,LEFT ARM Fast Medium,,,,,,,,Uncapped,20,Dubey
279,280,39,UFA5,Matt,Kelly,Australia,CA,1994-12-07,25,BOWLER,RHB,RIGHT ARM Fast Medium,,,,0.0,KKR,KKR,0.0,Uncapped,20,Kelly
280,281,39,UFA5,Arafat,Khan,India,RCA,1996-12-27,23,BOWLER,RHB,RIGHT ARM Medium Fast,,,,,,,,Uncapped,20,Khan
281,282,39,UFA5,Zahoor,Khan,UAE,UAE,1989-05-25,30,BOWLER,RHB,RIGHT ARM Fast,,,,,,,,Associate,20,Khan
282,283,39,UFA5,Sushant,Mishra,India,JSCA,2000-12-23,19,BOWLER,LHB,LEFT ARM Fast Medium,,,,,,,,Uncapped,20,Mishra
283,284,39,UFA5,David,Payne,England,ECB,1991-02-15,29,BOWLER,RHB,LEFT ARM Fast Medium,,,,,,,,Uncapped,30,Payne
284,285,39,UFA5,Kanishk,Seth,India,RSPB,1997-11-04,22,BOWLER,RHB,LEFT ARM Fast Medium,,,,0.0,CSK,,,Uncapped,20,Seth
285,286,39,UFA5,Lalit,Yadav,India,VCA,1995-12-17,24,BOWLER,RHB,RIGHT ARM Fast,,,,,,,,Uncapped,20,Yadav
286,287,40,AL6,Dan,Christian,Australia,CA,1983-05-04,36,ALL-ROUNDER,RHB,RIGHT ARM Medium,,19.0,16.0,40.0,"DCH, RCB, RPS, DD",,,Capped,75,Christian
287,288,40,AL6,Anaru,Kitchen,New Zealand,NZC,1984-02-21,36,ALL-ROUNDER,RHB,LEFT ARM Slow Orthodox,,,5.0,,,,,Capped,50,Kitchen
288,289,40,AL6,Jeevan,Mendis,Sri Lanka,SLC,1983-01-15,37,ALL-ROUNDER,LHB,LEFT ARM Slow Unorthodox,,58.0,22.0,3.0,DD,,,Capped,50,Mendis
289,290,40,AL6,Thisara,Perera,Sri Lanka,SLC,1989-04-03,31,ALL-ROUNDER,LHB,RIGHT ARM Medium,6.0,161.0,79.0,37.0,"CSK, KTK, MI, SRH,  KXIP, RPS",,,Capped,100,Perera
290,291,40,AL6,Angelo,Perera,Sri Lanka,SLC,1990-02-23,30,ALL-ROUNDER,RHB,LEFT ARM Slow Orthodox,,6.0,6.0,,,,,Capped,50,Perera
291,292,40,AL6,Seekkuge,Prasanna,Sri Lanka,SLC,1985-06-27,34,ALL-ROUNDER,RHB,RIGHT ARM Leg Break,1.0,40.0,20.0,,,,,Capped,50,Prasanna
292,293,40,AL6,Sabbir,Rahaman,Bangladesh,BAN,1991-08-20,28,ALL-ROUNDER,RHB,RIGHT ARM Leg Break,11.0,66.0,44.0,,,,,Capped,50,Rahaman
293,294,40,AL6,Raymon,Reifer,West Indies,CWI,1991-05-11,28,ALL-ROUNDER,LHB,LEFT ARM Fast Medium,1.0,2.0,,,,,,Capped,50,Reifer
294,295,40,AL6,Mohammad,Saifuddin,Bangladesh,BAN,1996-11-01,23,ALL-ROUNDER,LHB,RIGHT ARM Medium Fast,,20.0,13.0,,,,,Capped,50,Saifuddin
295,296,41,UBA6,Max,Bryant,Australia,CA,1999-03-10,21,BATSMAN,RHB,RIGHT ARM Medium Fast,,,,,,,,Uncapped,20,Bryant
296,297,41,UBA6,Rahul,Gahlaut,India,SSCB,1995-09-18,24,BATSMAN,LHB,RIGHT ARM Off Break,,,,,,,,Uncapped,20,Gahlaut
297,298,41,UBA6,Salman,Khan,India,RCA,1998-12-26,21,BATSMAN,RHB,RIGHT ARM Leg Break,,,,,,,,Uncapped,20,Khan
298,299,41,UBA6,Sharad,Lumba,India,PCA,1989-09-10,30,BATSMAN,RHB,RIGHT ARM Off Break,,,,0.0,MI,,,Uncapped,20,Lumba
299,300,41,UBA6,Marco,Marais,South Africa,CSA,1993-10-17,26,BATSMAN,RHB,RIGHT ARM  Medium Fast,,,,,,,,Uncapped,20,Marais
300,301,41,UBA6,George,Munsey,Scotland,CS,1993-02-21,27,BATSMAN,LHB,RIGHT ARM Leg Break,,,,,,,,Associate,20,Munsey
301,302,41,UBA6,Nehal,Pajni,India,HCA,2000-11-26,19,BATSMAN,LHB,RIGHT ARM Off Break,,,,,,,,Uncapped,20,Pajni
302,303,42,UAL6,Himanshu,Bisht,India,CAU,1996-11-17,23,ALL-ROUNDER,RHB,RIGHT ARM Leg Break,,,,,,,,Uncapped,20,Bisht
303,304,42,UAL6,Rohit,Damodaran,India,CAP,1992-05-28,27,ALL-ROUNDER,RHB,RIGHT ARM Off Break,,,,,,,,Uncapped,20,Damodaran
304,305,42,UAL6,Ayush,Jamwal,India,HPCA,1999-08-11,20,ALL-ROUNDER,RHB,LEFT ARM Slow Orthodox,,,,,,,,Uncapped,20,Jamwal
305,306,42,UAL6,Anirudha,Joshi,India,KSCA,1987-11-07,32,ALL-ROUNDER,RHB,RIGHT ARM Off Break,,,,0.0,RCB,,,Uncapped,20,Joshi
